id,age,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,default_payment_next_month,education,limit_bal,marriage,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,sex
802,25,20610,20005,19331,19333,17363,16314,1,2,20000,2,4,3,2,0,0,0,0,0,500,715,326,0,1
26095,27,28206,27459,28514,29733,30138,33248,1,1,90000,2,2,2,0,0,0,0,0,1800,2000,1200,3600,0,2
12457,37,0,0,0,0,0,0,1,3,370000,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,2
19588,30,14408,15370,16320,16456,16492,16086,1,2,40000,1,2,2,2,2,2,2,1500,1500,700,600,0,1600,2
27984,28,6393,10540,10232,11237,11427,20973,1,1,60000,2,0,0,2,0,0,0,4278,0,1483,673,10000,11540,2
22906,32,142357,141236,133779,135943,111264,111785,0,2,140000,1,0,0,0,0,0,0,5300,5300,5000,5000,4500,4500,2
25157,23,26117,27028,27510,27817,28130,27141,0,3,30000,1,0,0,0,0,0,0,1737,1609,1306,1455,857,1087,2
5285,36,600,600,600,600,300,150,1,2,80000,1,2,2,4,4,3,2,0,0,0,0,0,1000,1
18724,28,11832,100542,88118,65032,586,80270,0,2,160000,2,0,0,0,0,-1,0,100000,10000,6749,586,80000,30000,2
2444,42,30607,29849,30653,28410,29068,30383,0,3,30000,1,1,2,0,0,0,0,10,2000,2000,2000,2000,3000,2
13954,27,63412,159542,160885,162368,165591,121614,0,3,370000,2,0,0,0,0,0,0,100000,6000,6000,8000,4500,3000,2
27768,25,8731,2463,8514,5797,2413,33353,0,2,50000,1,-1,-1,-1,2,0,-1,2463,8514,0,0,33353,5868,2
23650,46,8131,9042,8753,9916,10793,10400,0,3,20000,1,1,2,2,0,0,2,1200,0,1316,1193,0,0,2
6147,38,24796,27085,26352,33871,33192,35637,0,1,100000,2,1,2,2,2,2,2,3000,0,8000,0,3000,0,1
16796,30,135634,135796,133712,136069,67837,69514,0,2,500000,2,0,0,0,0,0,0,5034,6000,5355,3500,2513,5000,1
3412,25,5279,7887,10116,9110,6500,5874,0,1,130000,2,0,0,0,0,0,0,4000,4000,2500,236,1700,74,2
14080,33,1901,3800,5239,5239,1559,2680,0,1,500000,1,-1,-1,-1,0,0,-1,3800,5239,0,0,2680,299,1
19987,37,2218,13181,4039,10692,18692,19565,0,2,400000,1,-2,-2,-2,-1,0,0,13256,4039,10692,8000,9000,1000,2
24733,36,14460,12825,13810,14815,16347,17531,0,1,200000,1,1,2,0,0,0,0,0,1502,2000,2000,1513,1504,1
3377,37,128146,117713,51961,46207,35052,12536,0,2,350000,2,0,0,0,0,0,0,4052,1700,1500,2000,500,2000,2
28622,40,31934,32711,34061,32672,32479,33431,1,2,50000,1,0,0,0,0,0,0,2000,3000,3000,3000,2000,1000,2
3439,34,3987,1631,21698,12657,11349,9006,0,1,200000,1,-1,-1,-1,-1,0,0,1631,21698,12657,569,3000,25000,2
29831,33,0,0,0,0,0,0,1,1,340000,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1
23575,37,0,0,596,22131,0,1596,0,2,150000,2,-2,-2,-2,-2,-2,-2,0,596,22131,1980,1596,4617,2
28545,35,96565,62524,88390,63470,55890,51650,0,2,170000,1,0,0,0,0,0,0,30580,50000,24517,14243,7852,4835,2
10808,40,80855,78074,38360,60060,59322,59973,0,3,80000,1,0,0,0,-1,0,0,2800,2700,61400,2312,2800,2800,2
11706,25,1050,1050,1050,1050,1050,1050,0,2,20000,2,2,2,3,3,3,3,0,0,0,0,0,0,1
25841,37,43459,26115,26283,16624,6316,8394,0,3,300000,1,1,-2,-1,-1,0,0,26137,26443,16624,6166,8078,25763,2
25066,50,140233,134223,130372,128921,120048,121292,0,3,240000,1,0,0,0,0,0,0,4754,4873,5033,4204,4509,5009,1
23333,38,629,622,3074,0,688,2605,1,1,260000,1,-2,-2,-1,-1,-2,-2,625,3084,691,0,2613,378,2
10975,29,21959,24685,24983,25375,25923,25358,0,2,30000,2,2,2,2,2,2,2,3400,1000,1100,1100,0,2100,1
3634,25,72874,71035,57503,56467,53995,55304,1,3,420000,2,1,2,0,0,0,0,0,2000,1892,1979,2226,23011,2
23629,38,67810,61602,48294,49242,48831,51125,0,3,230000,1,0,0,0,0,0,0,1980,1823,1771,1896,3232,2026,2
16441,53,1473,2095,622,149,-1324,-797,1,3,10000,2,0,-1,2,-1,-1,-2,2095,0,1000,0,2000,0,2
22487,41,44018,74152,107675,110289,100520,37080,0,3,480000,1,0,0,0,0,0,0,35176,45000,12022,14000,14000,10000,2
25936,40,-6,-6,1302,2752,1114,2212,0,3,260000,1,-2,-2,-2,-2,-2,-2,0,1308,2765,1119,2218,625,2
24170,27,58323,60741,62813,65151,66568,70168,0,3,80000,2,0,0,0,0,0,0,4000,3662,4000,2500,4509,2309,1
11845,24,1800,1800,1800,1800,1200,600,0,1,30000,2,2,2,6,6,5,4,0,0,0,0,0,0,2
11726,42,1188,3071,7854,10426,16784,4334,1,2,300000,2,-1,0,0,0,0,-1,2000,5000,5000,10000,4334,3578,1
17697,41,165425,169174,171459,177590,180147,184084,0,2,210000,2,0,0,0,0,0,0,8000,6500,9000,7000,7000,7000,2
5885,25,18446,17859,18718,17009,18721,20209,1,1,20000,2,2,2,0,0,0,0,0,1718,900,2000,1800,0,2
11186,40,147977,149890,124283,123733,123275,122624,0,5,160000,2,0,0,0,0,0,0,6000,4370,4400,4470,4420,6350,2
9822,23,7979,8700,9907,9599,14422,18885,0,2,20000,1,1,2,2,2,2,3,1000,1500,0,5000,5000,900,2
3648,32,6443,443,-1327,28484,47711,34755,0,2,320000,1,-1,-1,-1,-1,0,0,451,0,29811,20000,2386,462,1
29437,28,31529,30844,33961,33250,34524,38098,1,1,140000,2,1,2,2,2,0,0,0,3500,0,2000,4000,0,1
5467,37,81562,56352,29582,28852,29464,28688,1,2,80000,1,2,2,2,2,0,0,11,3500,0,1033,1502,2002,1
12045,37,1669,412,23547,5064,13258,2249,0,1,430000,1,-1,-1,-1,-1,-1,-1,416,23547,5064,13258,2249,3686,2
6986,40,50657,50529,49162,19969,19893,20282,0,1,50000,1,0,0,0,0,0,0,2015,2190,809,3012,5795,2001,1
7755,22,13540,397,998,734,1698,500,0,2,20000,2,0,0,-2,-2,-1,-1,406,1101,736,1799,601,0,1
3507,26,8355,8355,8355,8355,8355,8355,0,3,200000,2,-1,-1,-1,-1,-1,-1,8355,8355,8355,8355,8355,8285,1
13953,50,1156,396,776,776,1552,776,0,2,180000,2,-1,-1,-1,-1,-1,0,396,776,776,1552,0,776,1
3230,27,107599,109902,112635,114472,117556,116090,0,5,130000,2,0,0,0,0,0,0,4030,4600,4200,5000,5000,21932,2
26797,28,2235,13695,390,4080,3390,390,0,1,160000,2,-2,-2,-2,-2,-2,-2,13695,390,4080,3390,390,390,1
18492,27,164646,162671,166202,161973,167201,161327,0,2,170000,2,0,0,0,0,0,0,7200,7500,6000,10000,7000,16000,2
13237,23,8878,10077,11203,11320,11487,11895,0,1,70000,2,0,0,0,0,0,0,1500,1600,600,500,600,2600,2
2847,31,181550,177978,164481,198545,232543,165288,0,1,350000,2,0,0,0,0,0,2,10000,20000,100048,60000,0,5000,2
6551,24,52935,50946,22740,2314,1823,18839,1,2,50000,2,1,3,2,0,-1,-1,0,0,0,1823,18839,641,1
14852,40,-14,1452,4091,3011,5955,0,0,2,100000,1,-2,-2,-2,-2,-2,-2,1466,4091,3020,5955,0,2835,2
29985,38,315,923,2939,1993,1907,3319,0,2,30000,2,-1,-1,-2,-1,-1,-1,923,2977,1999,3057,3319,1000,1
4566,60,101761,101801,101863,101729,98103,99521,1,1,100000,1,0,0,0,0,0,0,3856,3919,3986,3865,3760,3863,1
4435,30,326,326,326,326,326,802,0,2,200000,2,-1,-1,-1,-1,-1,-1,326,326,326,326,802,0,1
27612,26,43800,44335,44626,40928,29367,29156,0,2,50000,1,0,0,0,0,0,0,2043,2126,2104,990,1200,1654,2
20232,51,18768,19684,11580,780,780,0,0,3,20000,1,0,0,0,-1,0,0,1714,1000,780,0,0,0,2
14688,57,50698,51030,49984,20155,19959,20194,0,1,50000,2,0,0,0,0,0,0,2100,1320,704,716,733,702,1
22571,34,1670,1479,1479,1479,1479,1240,1,1,240000,1,0,-1,-1,-1,-1,-1,1479,1479,1479,1479,1240,1655,2
10818,32,400,400,400,0,20818,20818,0,2,160000,2,2,2,2,2,-1,0,0,0,0,20818,0,0,2
27652,23,-697,11361,0,0,0,0,0,1,50000,2,1,-1,-1,-2,-2,-2,12058,0,0,0,0,0,2
14814,29,13936,0,0,0,1030,440,0,2,180000,2,-1,-1,-2,-2,-1,2,0,0,0,1030,0,0,2
16273,42,11460,455,10843,9011,7560,7686,0,3,80000,2,0,-1,-1,2,0,-1,455,10843,0,22,7709,9398,2
23996,25,80906,82789,80903,80215,63296,49854,0,2,80000,1,1,2,2,0,0,0,3800,6,3636,2646,2000,1830,1
25865,39,20885,20373,19391,20085,19938,0,0,2,20000,2,0,0,0,0,0,0,2157,1660,1300,541,0,0,2
12762,35,50000,37891,8434,8604,8865,9058,1,2,50000,2,0,0,0,0,0,0,1150,1200,310,400,340,301,1
11552,38,476,476,476,476,1102,476,0,2,150000,2,-1,-1,-1,-1,-1,2,476,476,476,1102,0,476,1
10991,26,89635,80129,75246,72996,73177,67271,0,2,360000,2,0,0,0,0,-1,0,3122,2007,1500,73177,2452,2256,1
29298,25,34700,21597,3340,0,0,0,0,2,70000,2,0,-1,-1,-1,-2,-2,21597,3340,0,0,0,8535,1
19169,40,10240,-660,117,4890,-356,4644,0,2,210000,1,-1,-1,-1,-1,-1,-1,0,5000,5000,0,5000,1000,2
18327,33,8819,8565,14567,157631,143678,159782,1,1,200000,2,0,-1,0,0,0,0,8656,14040,154888,12848,50000,10000,2
26975,38,706,195,504,-627,-918,-1209,1,1,300000,1,-1,-1,-1,-1,-2,-2,200,600,0,0,0,1791,1
8170,39,2688,2688,2688,2688,2688,2688,0,1,240000,1,-1,-1,-1,-1,-1,-1,2688,2688,2688,2688,2688,2688,1
22529,35,0,1492,0,0,0,0,0,3,20000,2,-2,-2,-2,-2,-2,-2,1492,0,0,0,0,0,2
16384,46,18505,17898,18067,18917,18717,17144,0,3,20000,2,1,2,0,0,0,0,0,1800,1600,400,0,0,2
1968,37,158920,164353,167455,99297,59888,44262,0,3,170000,1,0,0,0,0,0,0,8000,7000,5000,5000,5000,20000,2
584,53,77766,77954,78512,60452,61556,54022,0,3,80000,2,0,0,0,0,0,0,4000,2374,2007,2500,3000,2000,2
20100,42,18172,19559,20437,26591,28350,27758,1,2,80000,1,0,0,0,0,0,2,2000,1500,6500,2200,0,1100,2
13019,27,65489,41413,40400,25570,10060,8619,0,2,200000,2,0,0,0,0,0,0,4013,2684,5625,1020,3044,39777,2
10995,32,205498,210424,212979,207759,212014,225246,1,1,230000,2,1,2,2,2,0,0,10000,7598,0,8000,17000,0,2
27683,24,27660,28780,780,0,0,0,0,1,30000,2,0,0,2,2,-2,-2,2000,0,0,0,0,0,2
10427,40,2121,0,0,0,0,522,0,1,500000,1,-2,-2,-2,-2,-2,-2,0,0,0,0,522,117,2
10543,33,333,333,333,1019,2218,1216,0,1,410000,2,-2,-2,-2,-1,-1,-1,333,333,1019,2218,1216,1019,1
11173,26,58643,47548,48491,28518,29157,30073,0,3,60000,2,0,0,0,0,0,0,2100,2000,1000,959,1300,500,2
23717,52,-190,-760,-760,-760,760,760,0,3,30000,1,1,-2,-2,-2,-1,0,0,0,0,1520,0,0,2
19575,43,93359,95376,98954,101512,106708,109639,0,3,190000,1,0,0,0,0,0,0,3404,4954,4512,6708,4639,4793,2
26453,50,2789,2942,2520,2936,3493,3160,0,3,230000,1,-2,-2,-2,-2,-2,-2,2942,2520,2936,3493,3160,2784,2
10333,41,23025,22369,23344,23627,3977,1100,1,2,200000,1,-2,-2,-2,-2,-2,-2,0,1400,1110,1000,0,1736,1
6556,38,24172,23497,24817,25602,26535,26947,0,1,30000,2,1,2,0,0,0,2,0,1715,1500,1500,1000,4670,1
25595,36,80321,82038,83734,80569,56672,65196,0,2,150000,2,0,0,0,0,0,0,3052,3136,8046,2300,9621,0,2
24212,30,9884,3285,5103,9258,4305,10001,0,1,470000,2,-2,-2,-2,-2,-2,-2,3301,5127,9304,4326,10051,7661,1
14935,36,40836,41878,42977,43960,45093,46342,0,1,140000,1,0,0,0,0,0,0,2001,2100,2000,2000,2000,5000,1
23889,30,50457,51400,0,3794,0,0,0,1,50000,2,0,0,0,-1,-1,-2,2400,0,3794,0,0,9551,1
21852,27,81787,77845,60159,54151,45108,44490,0,5,80000,2,0,0,0,0,0,0,2600,3009,2200,2000,2000,2832,2
18066,40,3457,1997,5115,3295,222,2854,0,1,360000,2,-1,-1,-1,-1,-1,-1,2020,5115,3295,222,2862,2129,1
10511,35,98899,102435,98188,97189,97013,96950,1,1,100000,1,0,0,2,0,0,0,8800,0,3600,3500,3700,3443,2
11602,35,89604,97129,98795,98925,100017,99607,1,3,150000,1,0,0,0,0,0,0,10000,4275,3550,3750,3600,3100,2
9210,40,1856,32254,4805,1600,4712,3466,0,3,230000,1,-1,-1,-1,-1,-1,-1,32254,4819,1600,4712,3466,3199,2
25466,28,42062,43170,44283,46352,51384,50568,0,1,170000,2,0,0,0,0,0,2,2000,2000,3000,6000,0,2000,2
24639,28,149678,152704,163101,164953,160805,164411,0,2,250000,2,0,0,0,2,2,0,7000,14400,6000,0,6200,6200,1
18825,27,83840,81111,83081,60210,61221,62636,0,1,90000,2,0,0,0,0,0,0,3200,3500,3000,2600,2600,3000,2
2024,39,29449,55139,34181,12592,71340,32453,0,1,100000,1,-1,-1,-1,-1,-1,-1,55139,34181,12592,71340,32453,37035,2
10469,28,121109,124460,126384,126917,90822,83742,0,2,240000,2,0,0,0,0,0,0,6000,5000,4000,4000,4000,3000,2
13386,56,138468,93802,94531,96264,98135,100062,0,1,140000,1,0,0,0,0,0,0,4300,3500,3600,3881,4200,3521,2
23945,24,3724,5646,6808,14046,13924,16924,0,3,20000,2,0,0,0,0,0,0,2000,1262,7500,278,3000,0,1
5045,42,56437,57929,59369,63215,64087,130579,0,3,260000,1,0,0,0,0,0,0,3000,3000,5400,5000,2222,2337,2
4111,29,13770,14024,9232,4173,4408,5846,0,2,90000,1,0,0,0,0,0,0,1522,3010,1500,1500,1500,2000,2
27256,28,249827,191305,90497,92278,93354,95309,0,3,250000,1,0,0,0,0,0,0,8500,3899,3913,3186,3301,3525,1
3000,52,50671,50525,38240,18443,20065,20296,0,2,50000,3,0,0,0,0,0,0,1844,1292,804,5717,823,1299,2
23680,43,0,0,0,0,0,0,0,1,210000,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,2
